Year,GDP_USD_Billions
2023,1712.79285420237
2022,1673.91651179971
2021,1818.43210688004
2020,1644.31283190617
2019,1651.42293244777
2018,1725.37349682543
2017,1623.0741835018998
2016,1499.6798239096101
2015,1466.03893620643
2014,1484.4885262718
2013,1370.6329553212
2012,1278.04653628701
2011,1253.28953750081
2010,1143.6722411497199
2009,943.941876218743
2008,1047.33901022525
2007,1172.6140865398602
2006,1053.21690988756
2005,934.901071332984
2004,793.175561887027
2003,702.7148551939041
2002,627.246933729618
2001,547.656279894587
2000,576.179387819613
1999,497.51404064226205
1998,383.33183368182097
1997,569.755022973035
1996,610.167053824007
1995,566.581003128204
1994,463.619823515164
1993,392.665710525411
1992,355.524903068056
1991,330.64704283733397
1990,283.36584416109196
1989,246.928837311406
1988,199.591287824777
1987,147.94870937643398
1986,116.836246284832
1985,101.296177099377
1984,97.5107441191162
1983,87.7605532619279
1982,78.35841617148891
1981,72.9335330117706
1980,65.3983775975108
1979,66.9469008264463
1978,51.9721074380165
1977,38.446487603305805
1976,29.902479338842998
1975,21.7842975206612
1974,19.543973941368098
1973,13.8764722082678
1972,10.862211760825199
1971,9.90357124853268
1970,9.005144969116659
1969,7.67869883759346
1968,6.11939489237109
1967,4.855892445826821
1966,3.9290551435021
1965,3.12086149891442
1964,3.45901994279079
1963,3.9884615384615403
1962,2.81461538461538
1961,2.4176287365265496
1960,3.95881188118812
